transaction_amount,transaction_hour,account_age_days,distance_km,transactions_24h,avg_amount_7d,device_changes_30d,failed_attempts_24h,num_prior_transactions,is_new_device,email_address_match,billing_shipping_match,card_present,merchant_risk_score,velocity_score,isFraud
10.41,18,821,41.45,2,16.46,0,1,37,0,1,1,0,0.4,28.77,0
68.21,21,1170,0.2,3,20.24,1,0,80,0,1,1,1,0.159,39.39,0
8.84,9,782,7.44,2,4.17,0,0,70,0,1,1,0,0.401,19.49,0
36.92,5,134,22.85,2,15.78,1,0,13,0,1,1,0,0.108,45.98,0
4.22,8,1955,3.13,1,39.36,0,0,131,0,1,1,1,0.127,3.63,0
7.94,1,226,25.36,0,22.75,0,0,21,0,1,1,1,0.124,8.69,0
36.48,3,93,29.46,3,74.92,0,0,8,0,1,1,0,0.074,17.22,0
62.71,8,346,18.47,1,37.32,0,0,21,0,1,1,1,0.276,5.2,0
35.57,14,646,3.52,1,83.12,0,0,17,0,1,1,1,0.117,12.09,0
26.69,12,43,4.76,0,45.99,0,0,2,0,1,1,1,0.438,13.43,0
22.17,19,503,2.74,3,24.15,0,0,28,0,0,1,1,0.342,32.83,0
6.83,7,976,3.05,0,11.9,1,0,60,0,0,1,0,0.098,6.98,0
14.59,18,152,0.56,0,10.59,0,1,6,0,1,1,0,0.184,0.0,0
18.9,18,591,29.21,1,34.68,0,0,42,0,1,1,0,0.254,4.95,0
86.24,15,255,11.28,1,56.34,0,1,14,0,1,0,1,0.475,0.0,0
42.25,10,267,5.96,0,30.39,0,0,17,0,1,1,0,0.329,0.0,0
5.14,9,165,5.13,2,38.65,1,0,6,0,1,1,0,0.384,29.75,0
41.43,7,490,11.8,3,46.79,0,0,26,0,1,1,1,0.151,26.99,0
20.39,0,224,5.93,1,19.61,0,0,17,0,1,1,1,0.224,8.03,0
15.23,9,889,29.9,4,39.52,0,0,22,0,1,1,1,0.19,41.38,0
55.24,17,1647,3.55,2,41.65,0,0,137,0,1,1,0,0.278,27.51,0
84.02,2,1367,32.09,3,11.16,0,0,70,0,1,0,1,0.206,23.41,0
76.04,10,89,16.36,4,30.93,1,0,8,0,1,1,0,0.015,36.25,0
12.95,17,7,47.07,3,37.8,0,0,0,0,1,1,0,0.156,27.75,0
21.99,2,289,0.23,2,36.5,0,0,6,0,0,1,1,0.383,11.44,0
41.73,7,653,0.91,1,33.72,0,0,38,0,0,1,1,0.111,15.33,0
79.48,13,1896,10.42,4,50.77,0,1,115,0,1,1,0,0.028,31.34,0
18.56,5,765,36.52,1,157.45,0,0,55,0,1,1,0,0.43,7.87,0
24.89,14,434,19.68,1,31.67,0,0,13,0,1,1,1,0.195,20.37,0
9.91,13,13,14.6,2,96.1,0,0,0,0,1,1,0,0.418,17.84,0
9.06,6,873,0.48,1,6.97,0,0,42,0,1,0,0,0.455,0.08,0
67.53,9,97,6.56,0,30.39,0,0,9,0,1,1,1,0.113,0.0,0
116.31,14,29,6.37,0,7.68,0,1,1,1,1,1,1,0.2,12.49,1
27.88,9,950,11.72,1,18.09,0,0,17,0,1,1,0,0.09,3.08,0
81.74,21,418,4.47,1,104.66,0,0,24,0,1,1,1,0.406,0.0,0
43.02,16,69,4.66,2,51.49,0,0,6,0,1,1,1,0.065,28.75,0
15.72,18,244,14.55,0,29.57,0,0,17,0,1,1,0,0.208,8.81,0
43.01,16,45,43.39,0,67.64,0,0,3,0,1,1,0,0.274,4.55,0
139.5,11,508,16.19,2,33.17,0,0,43,0,1,1,0,0.25,18.34,0
28.91,14,166,16.55,0,19.72,0,0,4,0,1,1,0,0.347,13.04,0
143.26,11,1005,64.26,0,6.96,0,0,46,0,1,1,0,0.31,9.55,0
2.18,8,221,2.5,2,38.08,1,0,7,1,1,1,0,0.278,33.69,0
68.16,4,341,0.52,3,12.53,1,0,16,0,1,1,1,0.03,32.36,0
32.69,3,33,20.53,0,26.86,0,0,0,0,1,1,0,0.207,0.0,0
22.22,11,161,8.66,4,24.77,0,0,8,0,1,1,1,0.114,42.13,0
32.84,15,565,8.4,2,20.03,0,0,16,0,1,1,0,0.219,10.63,0
4.11,8,666,3.83,1,35.04,0,1,45,0,1,1,0,0.373,7.96,0
24.05,2,139,10.6,0,114.81,0,1,7,0,1,1,1,0.144,0.0,0
42.82,20,350,8.76,1,30.98,0,0,25,0,1,1,0,0.122,9.48,0
131.35,2,851,6.36,2,25.3,0,0,45,0,1,0,1,0.348,10.23,1
17.85,17,239,8.77,1,22.65,0,0,16,0,1,1,0,0.419,0.0,0
13.35,16,72,7.26,1,27.57,0,1,1,0,1,1,1,0.176,0.0,0
18.14,9,283,42.18,1,63.34,0,0,8,0,1,1,0,0.1,19.68,0
74.84,1,459,58.87,1,1.84,0,0,44,0,1,1,1,0.423,3.17,0
41.63,23,4,27.48,0,22.02,0,1,0,0,1,1,1,0.145,5.91,0
17.64,10,214,69.71,2,4.2,0,1,13,0,1,1,1,0.163,20.81,0
50.06,23,468,4.63,0,18.51,0,0,46,1,1,1,0,0.092,0.0,0
33.02,2,1517,27.77,1,28.33,0,0,29,0,1,1,1,0.036,17.62,0
78.94,22,263,7.83,1,60.87,2,0,25,0,1,1,1,0.189,27.22,0
14.85,22,89,20.56,2,50.27,1,0,1,0,1,0,1,0.087,25.91,0
21.59,1,382,3.37,1,79.6,0,0,26,0,1,1,1,0.174,12.15,0
20.24,8,168,25.07,2,20.47,0,0,10,0,1,1,0,0.311,14.1,0
6.93,18,121,1.31,3,13.01,0,0,10,0,1,1,0,0.179,14.39,0
40.29,1,446,4.73,0,16.94,0,0,29,0,1,1,1,0.165,0.0,0
38.9,18,1238,25.89,0,45.39,0,0,43,0,1,1,0,0.089,0.0,0
30.12,1,902,20.62,0,82.82,0,0,31,0,1,1,1,0.216,10.93,1
23.7,14,101,10.43,3,38.21,2,1,7,0,1,1,1,0.251,41.42,1
7.28,23,726,16.76,2,18.33,0,0,62,0,1,0,0,0.064,15.01,0
19.68,20,131,3.08,1,9.0,0,1,7,0,0,0,0,0.053,13.23,0
21.27,2,172,16.53,1,22.45,0,0,14,0,1,1,0,0.173,18.51,0
13.43,4,1263,0.12,1,46.69,0,0,37,0,1,1,1,0.171,2.77,0
25.5,10,1210,26.87,3,9.88,0,0,73,0,1,1,1,0.236,22.7,0
44.88,23,92,10.89,2,134.01,0,1,5,1,1,1,1,0.118,12.99,1
197.59,6,33,43.2,3,23.07,0,0,2,0,1,1,1,0.158,35.73,0
35.68,5,173,9.76,0,60.56,0,1,16,0,1,1,0,0.615,0.0,0
38.77,13,436,8.51,1,11.5,0,0,11,1,1,1,0,0.29,14.36,0
27.81,0,1047,8.97,1,18.74,0,0,68,0,1,1,0,0.263,2.39,0
4.4,16,63,6.69,2,78.48,2,0,3,1,1,1,0,0.225,33.67,1
29.18,16,268,2.73,4,10.54,0,0,15,0,1,1,0,0.24,38.71,0
31.82,13,159,27.68,0,42.12,0,0,13,0,1,0,1,0.261,5.41,0
351.86,9,8,7.39,3,13.53,0,1,0,0,1,1,0,0.132,14.57,1
24.72,7,777,11.3,3,13.06,0,0,45,0,1,1,1,0.222,25.41,0
40.51,7,839,0.3,1,25.49,0,1,53,1,1,1,1,0.156,4.67,0
28.94,13,125,0.93,0,15.97,0,0,10,1,1,1,1,0.066,0.0,0
9.31,6,82,13.64,1,34.64,0,0,7,0,1,1,1,0.117,20.43,0
93.96,5,78,31.71,0,22.44,1,0,3,0,1,1,1,0.169,2.31,0
63.56,3,312,10.2,1,15.06,0,0,8,0,1,1,1,0.133,6.69,0
66.09,0,142,2.7,2,23.34,1,0,4,0,1,1,0,0.253,10.63,0
12.07,14,358,1.85,1,91.49,0,0,15,0,1,1,1,0.145,0.0,0
121.85,14,243,34.51,1,12.84,0,0,23,0,1,1,1,0.077,12.3,0
7.38,0,118,18.14,2,11.52,2,0,11,0,1,1,0,0.182,41.48,0
53.89,19,696,50.81,1,12.27,0,0,63,0,1,1,0,0.177,16.54,0
267.86,2,81,1.29,3,12.51,0,0,5,0,1,1,0,0.276,20.4,0
11.13,22,802,34.94,2,13.02,0,0,46,0,1,1,0,0.16,24.67,0
17.01,4,412,28.03,0,9.36,0,0,15,0,1,0,0,0.243,9.32,0
33.1,4,892,33.55,0,54.84,0,0,65,0,1,1,0,0.372,17.91,0
18.11,3,2,0.09,0,31.17,0,0,0,1,1,1,0,0.082,0.0,0
6.36,16,692,20.32,3,26.07,0,0,60,0,1,1,0,0.038,18.63,0
32.09,20,26,11.94,2,185.08,1,0,2,0,1,1,0,0.26,35.88,0
10.36,19,1499,12.77,3,43.54,0,0,55,0,1,1,1,0.261,25.9,0
48.11,13,607,9.5,1,465.56,0,0,39,0,1,1,1,0.243,16.56,0
11.95,7,193,20.36,0,76.3,0,0,6,0,1,1,1,0.082,3.54,0
141.17,1,193,131.04,1,10.26,0,0,16,0,1,1,0,0.496,11.03,1
13.69,7,988,18.6,1,9.33,0,0,92,0,1,1,1,0.031,0.0,0
21.71,0,1166,17.0,0,17.95,0,0,110,0,1,1,1,0.311,0.0,0
67.59,3,1111,15.94,2,20.44,1,0,103,0,1,1,1,0.075,17.09,0
8.75,18,827,17.82,0,75.31,0,1,33,0,1,1,0,0.024,5.57,0
37.62,4,855,6.28,2,19.51,0,0,29,0,1,1,1,0.253,30.71,0
110.74,4,425,5.79,1,24.81,0,1,10,0,1,0,1,0.336,12.97,0
6.0,20,14,23.01,2,10.65,0,0,1,0,1,1,1,0.02,0.0,0
36.04,19,45,0.82,1,46.02,0,0,4,0,1,1,1,0.112,8.45,0
38.86,23,524,21.36,2,65.26,0,0,13,0,1,1,1,0.16,6.31,0
65.49,18,256,25.22,0,50.38,0,0,14,0,1,1,1,0.2,0.0,0
8.7,11,419,11.06,2,30.09,0,0,16,0,1,1,1,0.019,12.81,0
8.0,19,131,36.14,0,61.57,0,0,10,0,1,1,1,0.219,0.0,0
50.5,0,524,9.61,2,41.57,0,0,46,1,1,1,1,0.332,29.09,0
40.33,6,139,2.94,2,51.0,0,0,6,0,1,1,1,0.263,19.54,0
38.49,16,309,6.73,2,14.51,0,0,22,0,1,1,1,0.21,12.36,0
42.37,1,326,35.45,2,21.47,1,0,16,0,1,1,0,0.094,27.29,0
15.18,10,98,76.1,2,44.53,0,0,9,0,1,1,1,0.377,21.58,0
37.8,6,1045,8.22,2,18.7,0,0,17,0,1,1,0,0.212,9.85,0
40.17,16,373,2.74,2,138.52,0,0,30,1,1,1,1,0.151,0.0,0
14.67,2,1008,5.06,1,38.06,0,0,20,0,1,1,0,0.215,0.0,0
193.6,21,152,12.09,1,42.96,1,0,11,0,1,1,0,0.135,19.61,0
48.13,5,95,12.73,1,63.0,0,1,9,0,1,1,0,0.075,5.33,0
9.1,21,9,14.92,2,33.65,1,0,0,0,0,1,1,0.181,26.98,0
57.77,10,49,27.06,0,39.53,0,0,1,0,1,1,0,0.125,0.0,0
11.31,17,80,18.63,0,17.09,0,0,1,0,1,1,1,0.262,8.3,0
65.83,17,41,4.53,2,20.7,1,0,3,0,1,1,0,0.251,19.57,0
95.45,21,1136,7.54,1,27.04,0,0,44,0,1,1,0,0.399,0.49,0
13.19,9,1212,27.47,2,11.28,1,0,37,0,1,1,0,0.21,30.17,0
78.52,4,1385,15.05,1,98.38,0,0,50,0,1,1,1,0.29,3.96,0
45.28,22,1608,2.73,1,10.9,1,0,98,0,1,1,0,0.364,24.1,0
68.17,22,338,5.91,1,11.48,0,0,7,0,1,1,0,0.097,5.62,0
199.7,20,378,23.49,1,27.32,0,0,7,0,1,1,1,0.233,15.29,0
23.44,23,70,2.83,1,38.95,0,2,4,1,1,1,1,0.209,15.46,0
14.1,21,74,17.62,2,15.15,0,0,3,0,1,1,0,0.24,21.78,0
12.31,14,741,12.44,2,17.98,0,1,67,0,1,1,0,0.182,11.27,0
13.25,20,968,2.39,1,21.82,0,0,61,0,1,1,1,0.253,21.13,0
27.74,19,768,17.51,2,27.84,1,0,50,0,1,1,1,0.275,27.13,0
42.15,22,900,2.3,1,45.33,0,1,83,0,1,1,1,0.243,6.38,0
39.52,3,162,7.62,2,14.89,0,0,3,0,1,1,0,0.122,35.01,0
68.52,20,314,5.53,1,19.33,0,0,17,1,1,1,1,0.107,25.0,0
30.36,20,307,17.57,2,36.79,0,0,15,0,1,1,1,0.115,1.95,0
128.19,0,2678,22.87,1,69.69,0,0,218,0,1,1,0,0.267,8.71,0
23.0,14,1490,2.76,2,56.29,0,0,76,0,1,1,1,0.094,22.66,0
454.94,16,456,25.07,1,36.83,2,0,25,0,1,1,1,0.09,24.97,1
56.02,18,74,0.11,4,5.23,0,0,4,0,1,1,0,0.153,33.89,0
12.72,13,150,11.33,0,13.47,0,0,12,0,1,1,1,0.287,0.65,0
10.27,18,226,10.91,2,14.48,0,0,16,0,1,1,0,0.215,30.47,0
48.54,17,1033,14.67,1,61.03,0,0,53,0,1,1,0,0.347,16.7,0
23.96,1,94,4.11,0,11.6,2,0,2,0,1,1,0,0.385,13.36,0
61.19,5,124,0.15,2,7.93,0,0,10,0,1,1,1,0.072,25.32,0
48.1,12,215,9.1,0,37.01,0,0,21,0,1,1,1,0.066,9.51,0
27.86,16,1308,1.11,0,40.34,1,0,102,0,1,0,0,0.193,12.88,0
12.85,5,350,33.41,1,14.82,1,0,18,0,1,1,1,0.294,21.29,0
6.59,20,520,2.86,2,19.04,0,0,25,0,1,1,1,0.17,15.47,0
19.17,21,245,8.31,0,97.43,0,1,16,0,1,1,0,0.228,0.0,0
70.56,4,104,8.54,3,9.02,1,0,3,0,0,1,1,0.193,23.04,0
37.12,6,126,12.07,2,11.8,1,0,3,0,1,1,0,0.121,22.49,0
8.62,0,811,22.89,2,44.22,0,0,21,0,1,1,1,0.045,33.65,0
35.63,12,1120,9.58,2,29.73,0,0,109,0,0,0,1,0.333,16.98,0
44.05,18,340,0.39,1,25.69,0,1,24,1,1,1,0,0.293,12.77,0
12.38,21,221,22.12,1,7.86,0,0,13,0,1,1,0,0.422,10.95,0
34.94,0,825,1.29,0,12.61,0,0,74,0,1,1,0,0.144,2.7,0
31.76,12,559,15.39,2,21.13,0,0,24,1,1,1,1,0.293,6.39,0
9.55,10,21,24.4,3,123.75,0,0,1,0,1,1,1,0.193,31.61,0
42.85,6,216,4.98,0,17.73,0,0,6,0,1,1,0,0.084,13.9,0
52.5,19,573,8.94,0,8.28,0,0,38,0,1,1,0,0.206,0.0,0
88.5,2,426,0.22,1,19.0,0,0,38,0,1,1,1,0.116,7.54,0
85.95,0,1910,24.44,2,15.28,0,0,150,0,1,1,0,0.246,18.38,0
7.56,7,1005,18.22,1,43.0,0,0,64,0,1,1,1,0.319,1.15,0
11.73,16,31,3.95,1,3.35,1,0,1,0,1,1,1,0.065,26.07,0
50.15,12,647,7.42,1,15.74,0,0,43,0,0,1,1,0.069,12.55,0
50.09,13,205,17.83,2,84.95,0,0,14,0,1,1,0,0.09,14.99,0
50.15,4,573,6.65,1,44.63,0,0,38,0,1,1,0,0.155,9.94,0
1411.96,23,480,2.66,1,28.52,0,0,26,0,1,1,0,0.076,13.4,1
53.03,21,350,10.96,2,17.36,0,1,24,0,1,1,0,0.014,16.49,0
93.28,22,958,19.29,1,46.51,0,0,57,1,1,0,1,0.526,20.25,0
77.79,23,617,5.8,1,45.16,0,0,31,0,1,1,0,0.076,6.23,0
57.48,5,1102,1.95,5,11.04,0,0,66,0,1,1,1,0.173,39.75,0
21.86,21,165,26.54,1,65.28,0,0,14,0,1,1,1,0.189,24.66,0
64.01,5,214,4.37,1,161.9,0,0,19,0,1,1,1,0.209,0.0,0
13.83,20,486,10.79,4,19.67,0,1,33,0,1,1,0,0.147,25.19,0
23.65,7,1698,17.63,2,12.08,0,0,150,0,1,1,0,0.118,20.99,0
18.44,12,232,5.72,0,51.56,1,2,3,0,1,1,1,0.285,0.0,0
32.52,17,16,15.69,1,57.14,1,0,1,0,1,1,1,0.226,13.68,0
303.28,22,295,9.23,2,21.98,1,0,5,0,1,1,1,0.136,41.43,1
4.63,3,393,12.67,3,10.37,0,0,37,0,1,1,1,0.087,23.47,0
59.52,16,807,13.4,0,38.4,0,0,25,0,1,1,1,0.294,6.89,0
5.97,4,652,26.07,4,2.66,0,0,15,0,1,1,1,0.079,36.52,0
18.69,2,1671,16.02,1,30.35,0,0,151,0,0,1,0,0.219,1.77,0
89.03,3,763,4.6,1,2.11,0,1,13,0,1,1,1,0.157,4.9,0
31.95,22,177,0.92,0,19.28,0,0,15,0,1,1,0,0.206,4.91,0
10.2,4,513,0.03,1,71.18,0,0,17,0,1,0,1,0.234,10.47,0
14.65,13,558,35.22,1,152.09,0,0,27,0,1,1,0,0.069,9.67,0
59.12,14,3112,42.74,0,62.82,0,1,54,0,1,0,0,0.179,0.79,0
14.43,19,75,1.48,1,31.02,0,0,7,0,1,1,0,0.059,4.48,0
37.21,16,106,10.01,1,39.83,0,0,5,0,1,1,1,0.318,12.57,0
31.36,5,85,2.47,2,32.59,0,0,4,0,1,1,0,0.23,30.27,0
15.62,9,445,44.57,1,11.89,0,0,8,0,1,1,0,0.286,18.65,0
255.68,21,73,4.25,2,38.03,0,0,2,0,1,1,0,0.508,7.56,1
56.48,22,534,10.45,2,20.5,0,0,17,0,1,1,0,0.216,24.55,0
3.95,15,814,2.72,2,51.22,0,0,14,0,1,1,0,0.24,13.05,0
36.11,16,284,6.07,4,67.67,0,0,8,0,1,1,1,0.131,33.67,0
15.46,13,411,4.66,1,19.01,1,0,39,0,1,1,0,0.348,26.15,0
70.28,19,1219,9.68,3,25.55,0,0,79,0,1,1,1,0.245,24.99,0
13.56,11,421,8.17,4,32.96,0,0,7,0,1,1,0,0.178,18.86,0
26.72,8,117,6.03,1,32.36,0,0,4,0,1,1,1,0.326,11.73,0
49.65,14,210,1.68,0,157.79,0,0,10,0,1,1,1,0.301,1.13,0
71.22,11,377,9.94,2,21.73,0,0,11,0,1,1,1,0.043,3.89,0
9.02,13,84,28.48,0,6.04,0,0,2,0,1,1,1,0.265,0.0,0
21.45,21,474,19.65,0,23.0,0,0,45,0,1,0,0,0.329,5.29,0
18.64,17,3595,19.13,2,124.86,1,0,357,0,1,1,0,0.117,17.31,0
15.59,19,529,6.84,3,37.57,0,0,36,0,1,1,0,0.173,36.36,0
175.12,5,233,18.49,0,29.54,0,1,20,0,1,1,1,0.209,0.0,0
44.92,3,202,9.4,1,10.34,0,0,10,0,1,1,1,0.07,6.24,0
8.49,22,1341,2.44,4,24.33,0,0,23,0,1,1,0,0.243,40.28,0
75.03,11,1026,8.15,3,92.27,0,0,66,0,1,1,1,0.124,31.45,0
250.17,12,320,2.14,4,65.51,0,1,9,0,1,1,0,0.202,55.11,1
84.14,18,218,1.82,1,86.26,1,0,14,0,1,1,1,0.138,12.02,0
6.56,21,620,0.35,1,10.04,1,0,56,1,1,1,0,0.539,19.73,0
18.46,12,189,4.99,1,48.96,0,0,14,0,1,0,1,0.243,2.89,0
106.37,11,64,6.03,2,5.25,0,1,2,1,1,0,0,0.088,19.77,0
14.77,19,186,18.03,0,25.22,0,0,15,0,1,1,1,0.368,1.41,0
46.7,2,285,11.58,0,34.83,0,0,21,0,1,1,0,0.218,0.0,0
65.02,2,147,29.33,3,69.5,0,0,13,0,0,1,1,0.302,28.1,0
11.86,13,122,2.91,0,57.14,0,0,8,0,1,1,0,0.184,0.0,0
28.23,17,3,4.64,1,74.49,0,0,0,0,1,1,0,0.217,0.56,0
1.17,18,498,42.47,0,83.28,0,0,30,0,1,1,1,0.534,0.0,0
10.76,9,477,8.81,0,25.54,0,0,28,0,1,1,1,0.118,0.0,0
23.28,16,104,23.34,5,9.34,0,1,1,0,1,1,1,0.169,58.83,0
8.6,14,1438,10.16,1,42.51,2,0,136,0,1,1,0,0.211,36.14,0
153.3,18,263,9.55,1,53.41,0,0,13,0,1,1,1,0.09,16.62,0
7.17,8,13,2.4,0,17.57,1,0,1,0,1,0,1,0.232,13.51,0
19.3,3,124,28.58,0,28.78,0,0,6,0,1,0,1,0.111,0.0,0
34.15,14,589,1.22,3,46.95,1,0,55,0,1,1,1,0.091,36.58,0
126.63,18,113,5.57,0,92.52,0,0,10,0,1,1,1,0.028,0.0,0
7.13,15,28,16.79,0,8.81,0,0,0,1,1,1,1,0.356,6.84,0
95.89,7,481,10.62,1,72.57,0,0,36,0,1,1,1,0.011,6.12,0
30.27,16,365,31.98,1,25.85,0,0,7,0,1,1,1,0.068,9.08,0
11.23,20,716,0.6,3,23.77,0,1,17,0,1,1,0,0.199,18.05,0
47.57,0,741,15.72,3,73.75,0,0,14,1,1,1,0,0.064,14.66,0
36.56,6,1609,9.74,1,17.59,0,0,30,0,1,1,0,0.104,19.48,0
16.44,20,29,2.51,0,41.64,0,0,1,0,1,1,1,0.058,13.51,0
32.13,17,20,20.39,1,15.59,0,1,1,0,1,1,1,0.28,0.0,0
20.38,11,2179,7.95,3,22.97,0,2,121,0,1,1,1,0.09,24.5,0
33.57,15,518,11.38,1,88.27,1,0,15,0,1,1,1,0.292,11.43,0
58.1,0,628,51.29,1,38.09,0,0,24,0,1,1,1,0.132,13.26,0
146.35,14,51,9.99,1,75.59,0,0,4,0,1,1,1,0.23,13.6,0
8.69,6,36,26.01,2,5.26,0,0,1,0,1,1,1,0.572,22.1,0
252.91,16,87,22.02,3,77.9,1,0,3,0,1,1,1,0.185,41.46,1
4.25,2,279,16.3,0,11.96,0,0,12,1,1,1,0,0.369,0.0,0
25.74,10,58,34.07,1,16.4,1,0,5,0,1,1,0,0.244,8.39,0
53.96,5,296,4.35,3,18.77,1,0,26,0,1,0,0,0.035,30.0,0
39.69,5,412,25.79,1,36.65,0,0,21,0,1,1,0,0.08,2.69,0
16.08,14,1,7.12,0,37.12,3,0,0,0,0,1,0,0.089,42.89,1
24.33,6,61,25.11,0,44.27,0,0,2,0,1,1,1,0.068,4.19,0
18.3,10,235,10.21,0,36.61,0,0,5,1,1,1,0,0.408,0.0,0
16.62,16,27,29.25,1,37.04,0,0,1,0,1,1,0,0.389,24.9,0
70.08,22,72,33.78,0,21.24,0,0,6,0,1,1,1,0.022,13.19,0
42.82,17,132,13.66,1,32.52,2,0,2,0,1,1,0,0.328,26.01,0
14.99,21,281,10.63,0,38.53,0,0,10,0,1,1,0,0.363,0.0,0
73.67,23,627,22.94,4,8.73,0,0,13,0,1,0,1,0.263,34.33,1
40.74,20,71,4.66,4,41.54,0,0,5,0,1,1,1,0.162,30.71,1
67.55,18,670,0.23,4,32.36,0,0,56,0,1,1,0,0.136,30.21,0
56.24,7,966,7.84,1,63.01,0,0,87,0,1,0,0,0.073,14.53,0
13.08,23,527,10.63,3,90.52,0,0,12,0,1,1,1,0.074,23.31,0
17.11,19,22,5.29,1,94.82,0,1,1,0,1,1,0,0.167,7.3,0
63.26,7,290,7.25,1,2.08,0,0,17,0,1,0,0,0.034,7.69,0
55.17,20,540,2.14,2,13.58,0,0,20,0,1,1,1,0.218,21.9,0
29.34,10,1920,4.87,2,12.01,0,0,140,0,1,1,1,0.188,16.3,0
33.69,20,1516,4.12,1,27.81,0,0,27,0,1,1,0,0.145,0.0,0
107.52,2,252,5.37,1,16.0,0,0,6,0,1,0,0,0.089,3.4,0
16.58,22,478,5.33,1,59.19,1,0,44,0,1,1,0,0.068,27.54,0
51.78,13,1107,12.28,0,15.84,1,0,77,0,1,1,1,0.238,3.12,0
24.48,8,889,4.33,1,31.94,0,1,22,0,1,1,1,0.424,13.4,0
24.1,0,326,42.44,1,14.48,0,0,23,0,1,1,1,0.222,18.59,0
89.91,0,151,10.74,2,30.18,0,0,5,1,1,1,0,0.193,16.59,0
68.4,11,74,2.07,3,3.41,0,1,3,0,1,1,1,0.085,27.1,0
67.59,10,335,4.92,0,15.97,0,0,8,0,1,0,1,0.057,14.82,0
110.55,20,642,19.63,1,6.66,0,0,49,0,1,1,1,0.292,13.94,0
30.6,0,1749,0.21,2,65.88,0,0,71,0,1,0,0,0.366,24.26,0
59.26,19,990,41.67,1,29.7,1,0,29,0,1,1,1,0.304,12.78,0
21.97,11,114,8.84,0,24.64,0,0,11,0,1,1,0,0.371,0.0,0
41.44,16,636,11.04,2,19.76,0,0,19,0,1,1,0,0.147,31.05,0
26.31,14,171,66.87,2,23.41,0,0,11,0,1,1,0,0.125,11.77,0
33.02,1,575,10.5,3,63.28,0,0,15,0,1,1,1,0.099,24.46,0
54.33,17,548,44.27,3,27.15,0,0,52,0,1,1,1,0.223,23.78,0
13.22,15,159,37.02,1,19.82,0,0,8,0,1,1,0,0.076,3.92,0
242.84,3,134,42.53,1,6.71,0,0,9,0,1,1,1,0.282,11.69,0
10.96,7,55,25.1,1,17.47,0,0,1,0,1,1,0,0.324,3.66,0
8.9,1,26,5.27,1,24.66,0,0,2,1,1,1,0,0.161,0.0,0
